strike_id,date,location,country,area,confirm_possible,air_strike,drone_strike,strike_type,min_strikes,max_strikes,min_ppl_killed,max_ppl_killed,min_civil_killed,max_civil_killed,min_child_killed,max_child_killed,min_injured,max_injured
YEM001,2002-11-03T00:00:00Z,Unknown,Yemen,Marib,Confirmed,TRUE,TRUE,Drone strike,1,1,6,6,0,0,0,0,0,0
YEM002,2009-12-17T00:00:00Z,Al Majala,Yemen,Abyan,Confirmed,FALSE,FALSE,Cruise missile strike,1,1,55,58,44,44,21,22,9,9
YEM003,2009-12-17T00:00:00Z,Arhab,Yemen,Sanaa,Confirmed,FALSE,FALSE,"US-Yemen ground operation
Possible drone strike",1,1,0,0,0,0,0,0,0,0
YEM004,2009-12-24T00:00:00Z,Rafd,Yemen,Shabwa,Confirmed,TRUE,FALSE,"Airstrike
Possible cruise missile strike",1,1,30,34,0,0,0,0,0,0
YEM005,2010-01-12T00:00:00Z,Unknown,Yemen,Shabwa,Possible,FALSE,FALSE,"Yemen ground operation
Possible US assistance",1,1,1,2,0,0,0,0,0,0
YEM006,2010-01-15T00:00:00Z,Al Ajashir,Yemen,Saada,Possible,TRUE,FALSE,Airstrike,1,1,0,6,0,0,0,0,0,0
YEM007,2010-01-20T00:00:00Z,Erq al Shawan,Yemen,Marib,Possible,TRUE,FALSE,Airstrike,4,4,2,2,0,0,0,0,0,0
YEM008,2010-01-31T00:00:00Z,N/A,Yemen,Across Yemen,Possible,FALSE,FALSE,US ground operations,24,24,0,0,0,0,0,0,0,0
YEM009,2010-03-14T00:00:00Z,"Jeezat al Qotn
Moudia district",Yemen,Abyan,Confirmed,TRUE,FALSE,Airstrike,1,1,2,3,0,0,0,0,0,0
YEM010,2010-03-15T00:00:00Z,Moudia,Yemen,Abyan,Possible,TRUE,FALSE,Airstrike,1,1,7,20,0,20,0,0,0,0
YEM011,2010-05-24T00:00:00Z,Unknown,Yemen,Marib,Confirmed,TRUE,FALSE,Airstrike,1,1,3,4,3,4,0,0,2,3
YEM012,2011-05-05T00:00:00Z,Unknown,Yemen,Shabwa,Confirmed,TRUE,TRUE,"Drone strike
Airstrike with US conventional aircraft",1,1,2,2,0,0,0,0,0,0
YEM013,2011-06-03T00:00:00Z,Zinjibar,Yemen,Abyan,Confirmed,TRUE,TRUE,Drone strike,1,1,7,7,4,4,0,0,0,0
YEM014,2011-06-10T00:00:00Z,Zinjibar,Yemen,Abyan,Possible,TRUE,TRUE,"Airstrike
Possible drone strike",1,1,1,1,0,0,0,0,0,0
YEM015,2011-06-10T00:00:00Z,Raia,Yemen,Abyan,Possible,TRUE,TRUE,"Airstrike
Possible drone strike",1,3,2,3,2,3,1,1,0,1
YEM016,2011-06-18T00:00:00Z,Jaar,Yemen,Abyan,Possible,TRUE,TRUE,"Airstrike
Possible drone strike",1,1,0,0,0,0,0,0,6,6
YEM017,2011-07-14T00:00:00Z,"Wadeea district
Mudiya",Yemen,Abyan,Confirmed,TRUE,TRUE,Drone strike,1,1,6,50,30,30,0,0,0,0
YEM018,2011-07-14T00:00:00Z,Unknown,Yemen,Abyan,Possible,TRUE,TRUE,Drone strike,1,1,0,0,0,0,0,0,0,0
YEM019,2011-07-27T00:00:00Z,"Karadeef
Zinjibar",Yemen,Abyan,Possible,TRUE,TRUE,"Airstrike
Possible drone strike",1,1,5,5,0,0,0,0,0,0
YEM020,2011-08-01T00:00:00Z,Al Khamila,Yemen,Abyan,Confirmed,TRUE,TRUE,"Drone strike
Possible Yemen Air Force airstrike",2,4,13,16,0,0,0,0,12,17
YEM021,2011-08-24T00:00:00Z,Zinjibar,Yemen,Abyan,Possible,TRUE,FALSE,Airstrike,1,1,30,30,0,0,0,0,40,40
YEM022,2011-08-24T00:00:00Z,Arkoub,Yemen,Abyan,Possible,TRUE,TRUE,"Airstrike
Possible drone strike",1,1,6,6,0,0,0,0,0,0
YEM023,2011-08-25T00:00:00Z,Wadi Hassan,Yemen,Abyan,Possible,TRUE,FALSE,Airstrike,1,1,8,8,0,0,0,0,3,3
YEM024,2011-08-31T00:00:00Z,Unknown,Yemen,Abyan,Confirmed,TRUE,FALSE,Airstrike,2,2,30,30,0,0,0,0,0,0
YEM025,2011-09-05T00:00:00Z,Jaar,Yemen,Abyan,Possible,TRUE,FALSE,Airstrike,1,1,3,7,3,7,0,0,4,4
YEM026,2011-09-05T00:00:00Z,Jaar,Yemen,Abyan,Possible,TRUE,FALSE,Airstrike,2,2,9,11,1,1,1,1,2,2
YEM027,2011-09-07T00:00:00Z,Mahfed,Yemen,Abyan,Confirmed,TRUE,TRUE,Drone strike,2,3,3,10,0,0,0,0,2,24
YEM028,2011-09-21T00:00:00Z,Mahfed,Yemen,Abyan,Confirmed,TRUE,TRUE,Drone strike,1,1,4,4,0,0,0,0,0,0
YEM029,2011-09-21T00:00:00Z,Shaqra,Yemen,Abyan,Possible,TRUE,FALSE,Airstrike,1,1,6,7,0,0,0,0,3,3
YEM030,2011-09-30T00:00:00Z,Unknown,Yemen,Jawf,Confirmed,TRUE,TRUE,Drone strike,1,1,4,4,0,0,0,0,0,0
YEM031,2011-10-05T00:00:00Z,Al Arqoub,Yemen,Abyan,Possible,TRUE,TRUE,"Airstrike
Possible drone strike",1,1,5,5,0,0,0,0,7,7
YEM032,2011-10-14T00:00:00Z,Azzan,Yemen,Shabwa,Confirmed,TRUE,TRUE,Drone strike,1,1,0,0,0,0,0,0,0,0
YEM033,2011-10-14T00:00:00Z,Azzan,Yemen,Shabwa,Confirmed,TRUE,TRUE,Drone strike,1,1,7,9,2,2,2,2,0,0
YEM034,2011-10-14T00:00:00Z,Unknown,Yemen,Southern Yemen,Possible,TRUE,TRUE,"Airstrike
Possible drone strike",1,1,15,17,0,0,0,0,0,0
YEM035,2011-10-14T00:00:00Z,Azzan,Yemen,Shabwa,Possible,TRUE,TRUE,"Airstrike
Possible drone strike",1,1,2,2,1,2,1,1,0,0
YEM036,2011-12-22T00:00:00Z,Zinjibar,Yemen,Abyan,Possible,TRUE,TRUE,"Airstrike
Possible drone strike",1,1,1,1,0,0,0,0,0,0
YEM037,2012-01-31T00:00:00Z,Lawder,Yemen,Abyan,Confirmed,TRUE,TRUE,Drone strike,1,1,10,14,0,0,0,0,0,0
YEM038,2012-01-31T00:00:00Z,Unknown,Yemen,Abyan,Confirmed,TRUE,FALSE,Airstrike,3,3,0,0,0,0,0,0,0,0
YEM039,2012-03-09T00:00:00Z,Unknown,Yemen,Bayda,Confirmed,TRUE,TRUE,Drone strike,1,1,23,34,2,2,0,0,0,55
YEM040,2012-03-10T00:00:00Z,Jaar and Zinjibar,Yemen,Abyan,Confirmed,TRUE,TRUE,Drone strike,2,2,24,24,0,0,0,0,0,0
YEM041,2012-03-11T00:00:00Z,"Jebel Khanfar
Near Jaar",Yemen,Abyan,Confirmed,TRUE,TRUE,Drone strike,1,1,3,6,0,0,0,0,0,0
YEM042,2012-03-13T00:00:00Z,Unknown,Yemen,Bayda,Confirmed,TRUE,TRUE,Drone strike,1,7,4,5,0,0,0,0,0,0
YEM043,2012-03-18T00:00:00Z,Zinjibar,Yemen,Abyan,Possible,TRUE,TRUE,"Airstrike
Possible naval bombardment
Possible drone strike",1,2,14,18,0,0,0,0,0,0
YEM044,2012-03-18T00:00:00Z,Jaar,Yemen,Abyan,Possible,TRUE,FALSE,Airstrike,1,1,8,8,0,0,0,0,0,0
YEM045,2012-03-22T00:00:00Z,Zinjibar,Yemen,Abyan,Confirmed,TRUE,TRUE,"Drone strike
Possible naval bombardment",3,4,29,30,0,0,0,0,24,24
YEM046,2012-03-30T00:00:00Z,Azzan,Yemen,Shabwa,Confirmed,TRUE,TRUE,Drone strike,2,2,5,5,1,1,0,0,6,9
YEM047,2012-04-07T00:00:00Z,Unknown,Yemen,Shabwa,Confirmed,TRUE,TRUE,Drone strike,1,1,0,8,0,0,0,0,0,0
YEM048,2012-04-08T00:00:00Z,Unknown,Yemen,Abyan,Possible,TRUE,TRUE,"Airstrike - joint Yemeni and US
Possible drone strike",2,2,16,16,0,0,0,0,0,0
YEM049,2012-04-11T00:00:00Z,Lawder,Yemen,Abyan,Possible,TRUE,TRUE,"Airstrike
Possible drone strike",1,1,10,14,0,0,0,0,10,10
YEM050,2012-04-14T00:00:00Z,Al Zahir,Yemen,Bayda,Confirmed,TRUE,TRUE,Drone strike,1,1,3,7,0,0,0,0,0,0
YEM051,2012-04-16T00:00:00Z,Azzan,Yemen,Shabwa,Confirmed,TRUE,TRUE,Drone strike,1,5,5,7,0,0,0,0,0,0
YEM052,2012-04-18T00:00:00Z,Lawder and Jaar,Yemen,Abyan,Possible,TRUE,TRUE,"Airstrike
Possible drone strike",1,3,6,10,0,0,0,0,0,0
YEM053,2012-04-21T00:00:00Z,Lawder,Yemen,Abyan,Possible,TRUE,TRUE,"Airstrike
Possible drone strike",2,2,12,17,0,0,0,0,0,5
YEM054,2012-04-22T00:00:00Z,Sanda,Yemen,Marib,Confirmed,TRUE,TRUE,Drone strike,1,1,4,4,0,0,0,0,0,0
YEM055,2012-04-23T00:00:00Z,Nasab,Yemen,Shabwa,Confirmed,TRUE,TRUE,"Airstrike
Possible drone strike",1,1,3,3,0,0,0,0,2,2
YEM056,2012-04-23T00:00:00Z,Lawder,Yemen,Abyan,Possible,TRUE,TRUE,"Airstrike
Possible drone strike",1,1,0,4,0,0,0,0,0,0
YEM057,2012-04-26T00:00:00Z,Moudia,Yemen,Abyan,Possible,TRUE,TRUE,"Airstrike
Possible drone strike",1,1,3,3,0,0,0,0,0,0
YEM058,2012-04-29T00:00:00Z,Unknown,Yemen,Jawf,Possible,TRUE,TRUE,"Airstrike
Possible drone strike",1,1,3,3,0,0,0,0,0,0
YEM059,2012-04-30T00:00:00Z,Lawder,Yemen,Abyan,Possible,TRUE,TRUE,"Airstrike
Possible drone strike",1,1,4,4,0,0,0,0,0,0
YEM060,2012-04-30T00:00:00Z,Jaar,Yemen,Abyan,Possible,TRUE,TRUE,"Airstrike
Possible drone strike",1,1,3,3,0,0,0,0,0,0
YEM061,2012-05-02T00:00:00Z,Zinjibar,Yemen,Abyan,Possible,TRUE,TRUE,"Airstrike
Possible drone strike",1,1,10,15,0,0,0,0,0,0
YEM062,2012-05-06T00:00:00Z,Wadi Rafad,Yemen,Shabwa,Confirmed,TRUE,TRUE,Drone strike,1,1,2,4,1,1,0,0,0,0
YEM063,2012-05-10T00:00:00Z,Jaar,Yemen,Abyan,Possible,TRUE,TRUE,"Airstrike
Possible naval bombardment
Possible drone strike",2,2,5,12,0,0,0,0,0,0
YEM064,2012-05-10T00:00:00Z,Shaqra,Yemen,Abyan,Possible,TRUE,TRUE,"Airstrike
Possible naval bombardment
Possible drone strike",1,1,2,4,0,0,0,0,0,0
YEM065,2012-05-12T00:00:00Z,Al Hosoon,Yemen,Marib,Confirmed,TRUE,TRUE,Drone strike,1,1,6,7,0,0,0,0,0,0
YEM066,2012-05-12T00:00:00Z,Unknown,Yemen,Between Marib and Shabwa,Confirmed,TRUE,TRUE,Drone strike,1,1,10,10,0,0,0,0,0,0
YEM067,2012-05-12T00:00:00Z,Al Ain,Yemen,Shabwa/Hadramout,Possible,TRUE,TRUE,"Airstrike
Possible drone strike",1,1,6,10,0,0,0,0,0,0
YEM068,2012-05-14T00:00:00Z,Shaqra,Yemen,Abyan,Possible,TRUE,TRUE,"Airstrike
Possible drone strike",1,1,10,10,0,0,0,0,0,0
YEM069,2012-05-14T00:00:00Z,Lawder,Yemen,Abyan,Possible,TRUE,TRUE,"Airstrike
Possible drone strike",1,1,6,6,0,0,0,0,0,0
YEM070,2012-05-14T00:00:00Z,Jaar,Yemen,Abyan,Possible,TRUE,FALSE,Airstrike,1,1,0,0,0,0,0,0,2,2
YEM071,2012-05-15T00:00:00Z,Jaar,Yemen,Abyan,Possible,TRUE,TRUE,"Airstrike
Possible drone strike",2,4,14,42,14,26,0,0,20,21
YEM072,2012-05-16T00:00:00Z,Moudia,Yemen,Abyan,Possible,TRUE,TRUE,"Airstrike
Possible naval bombardment
Possible drone strike",1,2,16,16,0,0,0,0,5,14
YEM073,2012-05-17T00:00:00Z,Shibam,Yemen,Hadhramout,Confirmed,TRUE,TRUE,Drone strike,1,1,2,3,0,0,0,0,0,2
YEM074,2012-05-17T00:00:00Z,Shaqra,Yemen,Abyan,Possible,TRUE,FALSE,Airstrike,1,1,5,6,0,2,0,0,0,0
YEM075,2012-05-19T00:00:00Z,Jaar,Yemen,Abyan,Possible,TRUE,FALSE,Airstrike,1,1,3,5,0,0,0,0,0,0
YEM076,2012-05-19T00:00:00Z,Unknown,Yemen,Bayda,Possible,TRUE,TRUE,"Airstrike
Possible drone strike",1,1,2,2,0,0,0,0,0,0
YEM077,2012-05-20T00:00:00Z,Jaar,Yemen,Abyan,Possible,TRUE,FALSE,Airstrike,1,1,0,9,0,0,0,0,0,0
YEM078,2012-05-28T00:00:00Z,Manaseh,Yemen,Bayda,Confirmed,TRUE,TRUE,Drone strike,1,1,3,5,0,2,0,0,4,4
YEM079,2012-05-28T00:00:00Z,Mukalla,Yemen,Abyan,Possible,TRUE,TRUE,"Airstrike
Possible naval bombardment
Possible drone strike",1,1,5,5,0,0,0,0,0,0
YEM080,2012-06-01T00:00:00Z,Mahfed,Yemen,Abyan,Possible,TRUE,TRUE,"Airstrike
Possible drone strike",1,1,11,12,0,0,0,0,0,0
YEM081,2012-06-07T00:00:00Z,Moudia,Yemen,Abyan,Possible,TRUE,FALSE,Airstrike,1,1,2,2,0,0,0,0,7,7
YEM082,2012-06-07T00:00:00Z,Jaar,Yemen,Abyan,Possible,TRUE,TRUE,"Airstrike
Possible drone strike",1,1,3,3,0,0,0,0,0,0
YEM083,2012-06-07T00:00:00Z,Jaar,Yemen,Abyan,Possible,TRUE,FALSE,Airstrike,1,1,5,5,0,0,0,0,3,3
YEM084,2012-06-11T00:00:00Z,Azzan,Yemen,Shabwa,Possible,TRUE,FALSE,Airstrike,1,1,16,16,0,0,0,0,0,0
YEM085,2012-06-13T00:00:00Z,Jaar,Yemen,Abyan,Possible,TRUE,TRUE,"Airstrike
Possible drone strike",1,4,10,18,0,0,0,0,1,1
YEM086,2012-06-13T00:00:00Z,Azzan,Yemen,Shabwa,Confirmed,TRUE,TRUE,Drone strike,1,1,9,9,0,0,0,0,0,0
YEM087,2012-06-15T00:00:00Z,Azzan,Yemen,Shabwa,Possible,TRUE,FALSE,Airstrike,1,1,5,5,0,0,0,0,2,2
YEM088,2012-06-15T00:00:00Z,Shaqra,Yemen,Abyan,Possible,TRUE,TRUE,"Airstrike
Possible drone strike",1,1,5,7,5,7,4,6,4,5
YEM089,2012-06-19T00:00:00Z,Unknown,Yemen,Shabwa,Possible,TRUE,TRUE,"Airstrike
Possible drone strike",1,1,3,3,0,0,0,0,0,0
YEM090,2012-06-20T00:00:00Z,Mahfed,Yemen,Abyan,Possible,TRUE,TRUE,"Airstrike
Possible drone strike",1,1,1,1,1,1,0,0,0,0
YEM091,2012-06-20T00:00:00Z,Al Yafea,Yemen,Bayda,Possible,TRUE,FALSE,Airstrike,6,6,5,30,0,0,0,0,6,6
YEM092,2012-06-25T00:00:00Z,Mahfed,Yemen,Abyan,Confirmed,TRUE,TRUE,Drone strike,1,1,3,3,0,0,0,0,0,0
YEM093,2012-07-03T00:00:00Z,Bayhan,Yemen,Shabwa,Confirmed,TRUE,TRUE,Drone strike,1,1,2,5,0,0,0,0,2,2
YEM094,2012-07-04T00:00:00Z,Mahfed,Yemen,Abyan,Possible,TRUE,FALSE,Airstrike,1,4,3,13,0,0,0,0,7,7
YEM095,2012-07-23T00:00:00Z,Mahfed,Yemen,Abyan,Possible,TRUE,FALSE,Airstrike,1,1,5,5,0,0,0,0,0,0
YEM096,2012-08-04T00:00:00Z,Al Qotn,Yemen,Hadhramout,Confirmed,TRUE,TRUE,Drone strike,1,1,3,5,0,0,0,0,2,2
YEM097,2012-08-06T00:00:00Z,Radaa,Yemen,Bayda,Confirmed,TRUE,TRUE,Drone strike,1,1,7,7,0,0,0,0,0,0
YEM098,2012-08-07T00:00:00Z,Al Qotn,Yemen,Hadhramout,Possible,TRUE,TRUE,"Airstrike
Possible drone strike",1,1,2,3,0,0,0,0,2,2
YEM099,2012-08-28T00:00:00Z,Qahb al-Hisan,Yemen,Hadhramout,Confirmed,TRUE,TRUE,Drone strike,1,1,2,3,0,0,0,0,0,0
YEM100,2012-08-29T00:00:00Z,Al Qotn,Yemen,Hadhramout,Confirmed,TRUE,TRUE,Drone strike,1,1,5,5,2,2,0,0,0,0
YEM101,2012-08-31T00:00:00Z,Hawda,Yemen,Hadhramout,Confirmed,TRUE,TRUE,Drone strike,1,1,8,8,0,0,0,0,0,0
YEM102,2012-09-02T00:00:00Z,Radaa,Yemen,Bayda,Confirmed,TRUE,FALSE,"US airstrike
Possible drone strike",1,1,12,12,12,12,3,3,4,11
YEM103,2012-09-05T00:00:00Z,Al Ain,Yemen,Shabwa/Hadramout,Confirmed,TRUE,TRUE,Drone strike,1,1,4,6,1,4,0,0,3,3
YEM104,2012-09-10T00:00:00Z,Al Ain,Yemen,Shabwa/Hadramout,Confirmed,TRUE,TRUE,Drone strike,1,2,6,15,0,0,0,0,3,3
YEM105,2012-09-20T00:00:00Z,Mahfed,Yemen,Abyan,Possible,TRUE,TRUE,"Airstrike
Possible drone strike",1,2,2,4,0,0,0,0,3,3
YEM106,2012-10-04T00:00:00Z,Al Saeed,Yemen,Shabwa,Confirmed,TRUE,TRUE,Drone strike,1,2,3,6,0,0,0,0,2,4
YEM107,2012-10-18T00:00:00Z,Jaar,Yemen,Abyan,Confirmed,TRUE,TRUE,Drone strike,2,3,7,9,0,0,0,0,0,0
